,model,name,aurc,f1,precision,recall,acc,dataset
0,anon/deberta-v3-large-finetuned-dagpap22-only,unknown,0.1021751813426939,0.6758302583025831,0.5104515050167224,0.999727074235808,0.7705817066005093,unknown
1,anon/deberta-v3-large-finetuned-dagpap22-only,unknown,0.0975034560074508,0.7106302321908071,0.5615327009485771,0.96752688172043,0.7752560878365945,all
2,anon/deberta-v3-large-finetuned-dagpap22-only,unknown,0.3322199148233634,0.1939586645468998,0.1084582169164338,0.9163090128755365,0.659829387520368,generate
3,anon/deberta-v3-large-finetuned-dagpap22-only,unknown,0.3488935463931995,0.1289043133366386,0.0689655172413793,0.9848484848484848,0.6565340631414329,paraphrase
4,anon/deberta-v3-large-finetuned-dagpap22-only,unknown,0.3834690307051449,0.0761174968071519,0.0407215086089095,0.58203125,0.6461899638071016,translate
5,anon/deberta-v3-large-finetuned-synthetic-translated-only,translate,0.0264552934063208,0.8129576214777013,0.6848598130841121,1.0,0.889926225762225,unknown
6,anon/deberta-v3-large-finetuned-synthetic-translated-only,translate,0.0392756881104049,0.8305647840531561,0.7274490785645005,0.967741935483871,0.8873826903023984,all
7,anon/deberta-v3-large-finetuned-synthetic-translated-only,translate,0.0007697385293873,0.9311926605504588,1.0,0.871244635193133,0.9942490175404964,generate
8,anon/deberta-v3-large-finetuned-synthetic-translated-only,translate,0.0098291545953838,0.8,1.0,0.6666666666666666,0.9913986902551072,paraphrase
9,anon/deberta-v3-large-finetuned-synthetic-translated-only,translate,6.698783564582285e-08,0.996078431372549,1.0,0.9921875,0.9998043627115328,translate
10,anon/deberta-v3-large-finetuned-synthetic-generated-only,generate,0.0216586421282123,0.8123267930384658,0.6839649057308195,1.0,0.8894692172096363,unknown
11,anon/deberta-v3-large-finetuned-synthetic-generated-only,generate,0.0315897331909514,0.8346500091861107,0.7285118665811418,0.976989247311828,0.8895908728454885,all
12,anon/deberta-v3-large-finetuned-synthetic-generated-only,generate,4.87418869454668e-06,0.9838882921589688,0.9849462365591398,0.9828326180257512,0.998562254385124,generate
13,anon/deberta-v3-large-finetuned-synthetic-generated-only,generate,0.0095585829655452,0.7792792792792792,0.9611111111111112,0.6553030303030303,0.9904212686931874,paraphrase
14,anon/deberta-v3-large-finetuned-synthetic-generated-only,generate,3.799156308516704e-06,0.9706457925636008,0.9725490196078432,0.96875,0.998532720336496,translate
15,anon/deberta-v3-large-finetuned-synthetic-paraphrase-only,paraphrase,0.01097734440146,0.8165345413363533,0.6978319783197832,0.9838973799126638,0.8942351635437749,unknown
16,anon/deberta-v3-large-finetuned-synthetic-paraphrase-only,paraphrase,0.013477581681506,0.8253427895981087,0.7365400843881856,0.938494623655914,0.8867079678586763,all
17,anon/deberta-v3-large-finetuned-synthetic-paraphrase-only,paraphrase,0.0006901823822903,0.8132147395171537,0.9968847352024922,0.6866952789699571,0.9859100929742164,generate
18,anon/deberta-v3-large-finetuned-synthetic-paraphrase-only,paraphrase,5.285963109939551e-05,0.9768339768339768,0.9960629921259844,0.9583333333333334,0.9988270941256964,paraphrase
19,anon/deberta-v3-large-finetuned-synthetic-paraphrase-only,paraphrase,0.0001909409625235,0.8397291196388261,0.9946524064171124,0.7265625,0.993054876259415,translate
20,anon/deberta-v3-large-finetuned-DAGPap22-synthetic-all,all,1.4404539215633032e-05,0.9974068513716392,0.9975429975429976,0.9972707423580786,0.9987595482144024,unknown
21,anon/deberta-v3-large-finetuned-DAGPap22-synthetic-all,all,0.0001723985675889,0.9956887260185384,0.9980553154710458,0.9933333333333332,0.9975464638410108,all
22,anon/deberta-v3-large-finetuned-DAGPap22-synthetic-all,all,2.168126386452341e-05,0.9817792068595926,0.9807280513918628,0.9828326180257512,0.9983705549698072,generate
23,anon/deberta-v3-large-finetuned-DAGPap22-synthetic-all,all,7.979235084614486e-05,0.9659090909090908,0.9659090909090908,0.9659090909090908,0.9982406411885446,paraphrase
24,anon/deberta-v3-large-finetuned-DAGPap22-synthetic-all,all,2.044746561261465e-05,0.9748549323017408,0.9655172413793104,0.984375,0.9987283576249634,translate
