,text,fake
0,"In any case, these figures should be taken with caution, since, as explained above, due to the existence of multiple definitions of what is understood as gated community, many of the Chilean cases would be considered simply as horizontal property buildings in other countries. Latin American, while others would be considered as social housing blocks and not gated communities per se.",1
1,"The reasons for using the device, the use of some other technique before the COA, the signs of tracheal location, clicks of tracheal rings, cough, brake on the distal advancement of the catheter, among others, the number of attempts required to position the COA, evidence of airway trauma and, finally, the success of sliding the tube over the COA once placed.",1
2,"Therefore, standard thromboprophylaxis should be extended to patients with chronic liver disease, at least when they are exposed to situations of high thrombotic risk, such as hospitalizations, prolonged immobilization or major surgical procedures.",1
3,Blood count values ​​showed hematocrit and hemoglobin below normal with significant anisocytosis and hypochromic microcytosis.,1
4,Colombian flag with the silhouette of a population fleeing due to the effects of the internal conflict displayed during a mobilization of displaced population demanding the fulfillment of their rights in the city of Bogotá 2008.,1
5,The structural response of the beam is represented by the relationship between the applied external point load P and the deflection in the middle of the span δ.,1
6,3 Abdominal Organ Transplant Surgeon.,1
7,"This group was considered of very little importance in this study, being classified as the last group of importance for determinations of profit margin and number 15 of importance, within the 16 groups studied in this investigation Table 18.",1
8,"Clinical practice in hospitals is a fundamental pillar in the training of undergraduate nursing students, they are the response to the educational process of the extra-university walls; There is no questioning of the context or the user where their theoretical-practical training ends to enhance the development of theoretical skills and practical skills in the real context of learning in the process of acquiring skills, a useful tool in the education of university students.",1
9,"A group of experts in anesthesiology and epidemiology was formed, who gave the methodological and technical guidelines within the framework of the development of the protocol.",1
10,"President, ACED i Gastroenterologist.",1
11,"Given this finding, it is necessary to discuss some of the pillars on which Communication and Peace are based, since they pursue the same goal: to establish more supportive relationships in the social sphere and in the promotion of citizenship.",1
12,"It should be noted that in our group of patients, 48% of them presented at least one episode of desaturation, and that in 14 cases they were repeated throughout the procedure.",1
13,"It was requested to choose between one and three antibiotics without including antiviral, antifungal or tuberculostatic; the medication dose was calculated and expressed in grams per day.",1
14,"With methylene blue, correlation rates of up to 90% have been demonstrated 7.",1
15,"According to Foucault, these political processes only achieve an illusory liberation from external power, blaming it for all internal repression.",1
16,"This was intended to contribute to the resolution of 'several application problems, for which the Institute had elements difficult to find elsewhere, and which were of great scientific and social interest' Instituto, 1932, p. 75-6.",1
17,H2: Media associations or image have a positive influence on your brand value,1
18,"Undoubtedly, stigmatization is one of the problems that hinder social inclusion and the implementation of community programs for people with mental illness in the world.",1
19,"In our case, this would allow promoting a balanced development that allows, for example, the traditional furniture restorers of the Italia neighborhood to remain, while promoting the development of new ventures related to contemporary design. Also the ""affected"" are organized about the transformations of the neighborhoods.",1
